path,fault_type,split
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0037.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0038.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0039.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0040.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0041.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0042.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0043.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0044.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0045.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0046.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0047.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0048.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_dropout/sensor_dropout_0049.csv,sensor_dropout,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0000.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0001.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0002.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0003.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0004.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0005.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0006.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0007.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0008.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0009.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0010.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0011.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0012.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0013.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0014.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0015.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0016.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0017.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0018.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0019.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0020.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0021.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0022.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0023.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0024.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0025.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0026.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0027.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0028.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0029.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0030.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0031.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0032.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0033.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0034.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0035.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0036.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0037.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0038.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0039.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0040.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0041.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0042.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0043.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0044.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0045.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0046.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0047.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0048.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/thrust_degradation/thrust_degradation_0049.csv,thrust_degradation,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0000.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0001.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0002.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0003.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0004.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0005.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0006.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0007.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0008.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0009.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0010.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0011.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0012.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0013.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0014.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0015.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0016.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0017.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0018.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0019.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0020.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0021.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0022.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0023.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0024.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0025.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0026.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0027.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0028.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0029.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0030.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0031.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0032.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0033.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0034.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0035.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0036.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0037.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0038.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0039.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0040.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0041.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0042.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0043.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0044.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0045.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0046.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0047.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0048.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/filter_misclassification/filter_misclassification_0049.csv,filter_misclassification,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0000.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0001.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0002.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0003.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0004.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0005.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0006.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0007.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0008.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0009.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0010.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0011.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0012.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0013.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0014.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0015.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0016.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0017.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0018.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0019.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0020.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0021.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0022.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0023.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0024.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0025.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0026.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0027.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0028.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0029.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0030.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0031.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0032.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0033.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0034.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0035.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0036.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0037.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0038.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0039.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0040.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0041.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0042.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0043.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0044.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0045.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0046.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0047.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0048.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/measurement_delay/measurement_delay_0049.csv,measurement_delay,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0000.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0001.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0002.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0003.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0004.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0005.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0006.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0007.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0008.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0009.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0010.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0011.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0012.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0013.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0014.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0015.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0016.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0017.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0018.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0019.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0020.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0021.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0022.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0023.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0024.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0025.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0026.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0027.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0028.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0029.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0030.csv,sensor_bias_drift,train
/Users/chetan/IBM Hackathon/sentinel/data/faulted/sensor_bias_drift/sensor_bias_drift_0031.csv,sensor_bias_drift,train
